"DS1TVB12.Code.or.Value","DS1TVB12.Value.Description","DS1TVB12.Count","DS1TVB12.Cumulative","DS1TVB12.Skip.to.Item"
"0.6 to 10165","Range of Values",1554,1554,NA
".","Missing",7150,8704,NA
