"DSQTIRON.Code.or.Value","DSQTIRON.Value.Description","DSQTIRON.Count","DSQTIRON.Cumulative","DSQTIRON.Skip.to.Item"
"0.002 to 260","Range of Values",1048,1048,NA
".","Missing",8206,9254,NA
