"DRXTCARB.Code.or.Value","DRXTCARB.Value.Description","DRXTCARB.Count","DRXTCARB.Cumulative","DRXTCARB.Skip.to.Item"
"0 to 1700.37","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
