"DRXTVC.Code.or.Value","DRXTVC.Value.Description","DRXTVC.Count","DRXTVC.Cumulative","DRXTVC.Skip.to.Item"
"0 to 1275.1","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
