"DR2TSODI.Code.or.Value","DR2TSODI.Value.Description","DR2TSODI.Count","DR2TSODI.Cumulative","DR2TSODI.Skip.to.Item"
"7 to 16552","Range of Values",6502,6502,NA
".","Missing",2202,8704,NA
