"DS2TMAGN.Code.or.Value","DS2TMAGN.Value.Description","DS2TMAGN.Count","DS2TMAGN.Cumulative","DS2TMAGN.Skip.to.Item"
"0.1 to 2000","Range of Values",883,883,NA
".","Missing",7821,8704,NA
