"DR2IVK.Code.or.Value","DR2IVK.Value.Description","DR2IVK.Count","DR2IVK.Cumulative","DR2IVK.Skip.to.Item"
"0 to 2318.1","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
