"DR2IM181.Code.or.Value","DR2IM181.Value.Description","DR2IM181.Count","DR2IM181.Cumulative","DR2IM181.Skip.to.Item"
"0 to 90.198","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
