"DS2MTCH.Code.or.Value","DS2MTCH.Value.Description","DS2MTCH.Count","DS2MTCH.Cumulative","DS2MTCH.Skip.to.Item"
"1","Exact or near exact match",2140,2140,NA
"2","Probable match",314,2454,NA
"3","Generic match",1522,3976,NA
"4","Reasonable match",787,4763,NA
"5","Default match",908,5671,NA
"6","No match",93,5764,NA
"7","Refused",0,5764,NA
"9","Don't know",12,5776,NA
".","Missing",0,5776,NA
