"DRD350E.Code.or.Value","DRD350E.Value.Description","DRD350E.Count","DRD350E.Cumulative","DRD350E.Skip.to.Item"
"1","Yes",222,222,""
"2","No",3083,3305,"DRD350F"
".","Missing",5399,8704,""
