"DS2ICHL.Code.or.Value","DS2ICHL.Value.Description","DS2ICHL.Count","DS2ICHL.Cumulative","DS2ICHL.Skip.to.Item"
"0.005 to 1000","Range of Values",351,351,NA
".","Missing",5425,5776,NA
