"DR1TCALC.Code.or.Value","DR1TCALC.Value.Description","DR1TCALC.Count","DR1TCALC.Cumulative","DR1TCALC.Skip.to.Item"
"0 to 7038","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
