"DS2TPROT.Code.or.Value","DS2TPROT.Value.Description","DS2TPROT.Count","DS2TPROT.Cumulative","DS2TPROT.Skip.to.Item"
"0.05 to 60","Range of Values",141,141,NA
".","Missing",8563,8704,NA
