"DSQIPHOS.Code.or.Value","DSQIPHOS.Value.Description","DSQIPHOS.Count","DSQIPHOS.Cumulative","DSQIPHOS.Skip.to.Item"
"6 to 1200","Range of Values",798,798,NA
".","Missing",9186,9984,NA
