"DRABF.Code.or.Value","DRABF.Value.Description","DRABF.Count","DRABF.Cumulative","DRABF.Skip.to.Item"
"1","Yes",1700,1700,NA
"2","No",91800,93500,NA
".","Missing",0,93500,NA
