"DR2TP183.Code.or.Value","DR2TP183.Value.Description","DR2TP183.Count","DR2TP183.Cumulative","DR2TP183.Skip.to.Item"
"0 to 23.393","Range of Values",6502,6502,NA
".","Missing",2202,8704,NA
