"DS1ICARB.Code.or.Value","DS1ICARB.Value.Description","DS1ICARB.Count","DS1ICARB.Cumulative","DS1ICARB.Skip.to.Item"
"0.001 to 63","Range of Values",1003,1003,NA
".","Missing",5065,6068,NA
