"DTD070Q.Code.or.Value","DTD070Q.Value.Description","DTD070Q.Count","DTD070Q.Cumulative","DTD070Q.Skip.to.Item"
"0 to 78","Range of Values",7848,7848,NA
"777","Refused",3,7851,NA
"999","Don't know",8,7859,NA
".","Missing",682,8541,NA
