"DS1TVB1.Code.or.Value","DS1TVB1.Value.Description","DS1TVB1.Count","DS1TVB1.Cumulative","DS1TVB1.Skip.to.Item"
"0.01 to 251.5","Range of Values",1050,1050,NA
".","Missing",7654,8704,NA
