"DS1TSELE.Code.or.Value","DS1TSELE.Value.Description","DS1TSELE.Count","DS1TSELE.Cumulative","DS1TSELE.Skip.to.Item"
"1 to 470","Range of Values",808,808,NA
".","Missing",7896,8704,NA
