"DS2TFDFE.Code.or.Value","DS2TFDFE.Value.Description","DS2TFDFE.Count","DS2TFDFE.Cumulative","DS2TFDFE.Skip.to.Item"
"7 to 17000","Range of Values",1412,1412,NA
".","Missing",7292,8704,NA
