"FFQ0063C.Code.or.Value","FFQ0063C.Value.Description","FFQ0063C.Count","FFQ0063C.Cumulative","FFQ0063C.Skip.to.Item"
1,"Almost never or never",2651,2651,NA
2,"About 1/4 of the time",1313,3964,NA
3,"About 1/2 of the time",627,4591,NA
4,"About 3/4 of the time",275,4866,NA
5,"Almost always or always",767,5633,NA
88,"Blank",379,6012,NA
99,"Error",1,6013,NA
