"DR2IS160.Code.or.Value","DR2IS160.Value.Description","DR2IS160.Count","DR2IS160.Cumulative","DR2IS160.Skip.to.Item"
"0 to 39.228","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
