"DS2TCHL.Code.or.Value","DS2TCHL.Value.Description","DS2TCHL.Count","DS2TCHL.Cumulative","DS2TCHL.Skip.to.Item"
"0.005 to 1000","Range of Values",345,345,NA
".","Missing",8359,8704,NA
