"DR2TP225.Code.or.Value","DR2TP225.Value.Description","DR2TP225.Count","DR2TP225.Cumulative","DR2TP225.Skip.to.Item"
"0 to 1.041","Range of Values",6502,6502,NA
".","Missing",2202,8704,NA
