"DRD350CQ.Code.or.Value","DRD350CQ.Value.Description","DRD350CQ.Count","DRD350CQ.Cumulative","DRD350CQ.Skip.to.Item"
"1 to 30","Range of Values",93,93,NA
".","Missing",8611,8704,NA
