"DRDTSODI.Code.or.Value","DRDTSODI.Value.Description","DRDTSODI.Count","DRDTSODI.Cumulative","DRDTSODI.Skip.to.Item"
"0 to 21616","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
