"DS1TFDFE.Code.or.Value","DS1TFDFE.Value.Description","DS1TFDFE.Count","DS1TFDFE.Cumulative","DS1TFDFE.Skip.to.Item"
"7 to 17000","Range of Values",1422,1422,NA
".","Missing",7282,8704,NA
