"DR1TKCAL.Code.or.Value","DR1TKCAL.Value.Description","DR1TKCAL.Count","DR1TKCAL.Cumulative","DR1TKCAL.Skip.to.Item"
"0 to 12501","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
