"DRXIVK.Code.or.Value","DRXIVK.Value.Description","DRXIVK.Count","DRXIVK.Cumulative","DRXIVK.Skip.to.Item"
"0 to 2933.3","Range of Values",141931,141931,NA
".","Missing",1073,143004,NA
