"DR2TPROT.Code.or.Value","DR2TPROT.Value.Description","DR2TPROT.Count","DR2TPROT.Cumulative","DR2TPROT.Skip.to.Item"
"0 to 345.53","Range of Values",6502,6502,NA
".","Missing",2202,8704,NA
