"DR2INIAC.Code.or.Value","DR2INIAC.Value.Description","DR2INIAC.Count","DR2INIAC.Cumulative","DR2INIAC.Skip.to.Item"
"0 to 100.787","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
