"DRQ350JQ.Code.or.Value","DRQ350JQ.Value.Description","DRQ350JQ.Count","DRQ350JQ.Cumulative","DRQ350JQ.Skip.to.Item"
"1 to 3","Range of Values",33,33,NA
".","Missing",9249,9282,NA
