"DRD350BQ.Code.or.Value","DRD350BQ.Value.Description","DRD350BQ.Count","DRD350BQ.Cumulative","DRD350BQ.Skip.to.Item"
"1 to 10","Range of Values",684,684,NA
".","Missing",8020,8704,NA
