"DR1IPROT.Code.or.Value","DR1IPROT.Value.Description","DR1IPROT.Count","DR1IPROT.Cumulative","DR1IPROT.Skip.to.Item"
"0 to 216.14","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
