"DR1TLYCO.Code.or.Value","DR1TLYCO.Value.Description","DR1TLYCO.Count","DR1TLYCO.Cumulative","DR1TLYCO.Skip.to.Item"
"0 to 164033","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
