"DRD370G.Code.or.Value","DRD370G.Value.Description","DRD370G.Count","DRD370G.Cumulative","DRD370G.Skip.to.Item"
"1","Yes",167,167,""
"2","No",4171,4338,"DRD370H"
".","Missing",4366,8704,""
