"DR2IZINC.Code.or.Value","DR2IZINC.Value.Description","DR2IZINC.Count","DR2IZINC.Cumulative","DR2IZINC.Skip.to.Item"
"0 to 91.79","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
