"DR2STY.Code.or.Value","DR2STY.Value.Description","DR2STY.Count","DR2STY.Cumulative","DR2STY.Skip.to.Item"
"1","Yes",1045,1045,""
"2","No",5650,6695,"DR2TKCAL"
"9","Don't know",19,6714,"DR2TKCAL"
".","Missing",1990,8704,""
