"DS1ISFAT.Code.or.Value","DS1ISFAT.Value.Description","DS1ISFAT.Count","DS1ISFAT.Cumulative","DS1ISFAT.Skip.to.Item"
"0.0002 to 6","Range of Values",74,74,NA
".","Missing",5994,6068,NA
