"FFQ0110A.Code.or.Value","FFQ0110A.Value.Description","FFQ0110A.Count","FFQ0110A.Cumulative","FFQ0110A.Skip.to.Item"
1,"Almost never or never",3712,3712,NA
2,"About 1/4 of the time",661,4373,NA
3,"About 1/2 of the time",610,4983,NA
4,"About 3/4 of the time",243,5226,NA
5,"Almost always or always",442,5668,NA
88,"Blank",343,6011,NA
99,"Error",2,6013,NA
