"DS1TTFAT.Code.or.Value","DS1TTFAT.Value.Description","DS1TTFAT.Count","DS1TTFAT.Cumulative","DS1TTFAT.Skip.to.Item"
"0.25 to 27","Range of Values",512,512,NA
".","Missing",8192,8704,NA
