"DSD128JJ.Code.or.Value","DSD128JJ.Value.Description","DSD128JJ.Count","DSD128JJ.Cumulative","DSD128JJ.Skip.to.Item"
"44","FOR WEIGHT GAIN",68,68,NA
".","Missing",9916,9984,NA
