"DS2TPOTA.Code.or.Value","DS2TPOTA.Value.Description","DS2TPOTA.Count","DS2TPOTA.Cumulative","DS2TPOTA.Skip.to.Item"
"0.01 to 2340","Range of Values",627,627,NA
".","Missing",8077,8704,NA
