"DS1TVK.Code.or.Value","DS1TVK.Value.Description","DS1TVK.Count","DS1TVK.Cumulative","DS1TVK.Skip.to.Item"
"5 to 5000","Range of Values",769,769,NA
".","Missing",7935,8704,NA
