"FFQ0021.Code.or.Value","FFQ0021.Value.Description","FFQ0021.Count","FFQ0021.Cumulative","FFQ0021.Skip.to.Item"
1,"Yes",4422,4422,""
2,"No",1274,5696,"FFQ0022"
88,"Blank",317,6013,""
99,"Error",0,6013,""
