"FFQ0138A.Code.or.Value","FFQ0138A.Value.Description","FFQ0138A.Count","FFQ0138A.Cumulative","FFQ0138A.Skip.to.Item"
1,"Almost never or never",2189,2189,NA
2,"About 1/4 of the time",352,2541,NA
3,"About 1/2 of the time",442,2983,NA
4,"About 3/4 of the time",177,3160,NA
5,"Almost always or always",529,3689,NA
88,"Blank",2324,6013,NA
99,"Error",0,6013,NA
