"DR1IMOIS.Code.or.Value","DR1IMOIS.Value.Description","DR1IMOIS.Count","DR1IMOIS.Cumulative","DR1IMOIS.Skip.to.Item"
"0 to 15344.64","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
