"DTQ170U.Code.or.Value","DTQ170U.Value.Description","DTQ170U.Count","DTQ170U.Cumulative","DTQ170U.Skip.to.Item"
"1","Day",942,942,NA
"2","Week",2949,3891,NA
"3","Month",3431,7322,NA
"7","Refused",3,7325,NA
"9","Don't know",8,7333,NA
".","Missing",1208,8541,NA
