"DRD350GQ.Code.or.Value","DRD350GQ.Value.Description","DRD350GQ.Count","DRD350GQ.Cumulative","DRD350GQ.Skip.to.Item"
"1 to 10","Range of Values",314,314,NA
".","Missing",8390,8704,NA
