"DSQTTFAT.Code.or.Value","DSQTTFAT.Value.Description","DSQTTFAT.Count","DSQTTFAT.Cumulative","DSQTTFAT.Skip.to.Item"
"0.004 to 27","Range of Values",733,733,NA
".","Missing",8521,9254,NA
