"DR2TCRYP.Code.or.Value","DR2TCRYP.Value.Description","DR2TCRYP.Count","DR2TCRYP.Cumulative","DR2TCRYP.Skip.to.Item"
"0 to 7814","Range of Values",6502,6502,NA
".","Missing",2202,8704,NA
