"DSQTVK.Code.or.Value","DSQTVK.Value.Description","DSQTVK.Count","DSQTVK.Cumulative","DSQTVK.Skip.to.Item"
"0.1 to 7000","Range of Values",1233,1233,NA
".","Missing",8021,9254,NA
