"DR2ISELE.Code.or.Value","DR2ISELE.Value.Description","DR2ISELE.Count","DR2ISELE.Cumulative","DR2ISELE.Skip.to.Item"
"0 to 323.2","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
