"DR2TM181.Code.or.Value","DR2TM181.Value.Description","DR2TM181.Count","DR2TM181.Cumulative","DR2TM181.Skip.to.Item"
"0 to 165.881","Range of Values",6502,6502,NA
".","Missing",2202,8704,NA
