"DR1IP184.Code.or.Value","DR1IP184.Value.Description","DR1IP184.Count","DR1IP184.Cumulative","DR1IP184.Skip.to.Item"
"0 to 0.542","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
