"DR1TCAFF.Code.or.Value","DR1TCAFF.Value.Description","DR1TCAFF.Count","DR1TCAFF.Cumulative","DR1TCAFF.Skip.to.Item"
"0 to 4320","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
