"DS1TLYCO.Code.or.Value","DS1TLYCO.Value.Description","DS1TLYCO.Count","DS1TLYCO.Cumulative","DS1TLYCO.Skip.to.Item"
"99 to 60000","Range of Values",379,379,NA
".","Missing",8325,8704,NA
