"DRQ350GQ.Code.or.Value","DRQ350GQ.Value.Description","DRQ350GQ.Count","DRQ350GQ.Cumulative","DRQ350GQ.Skip.to.Item"
"1 to 6","Range of Values",289,289,NA
".","Missing",8993,9282,NA
