"DSQIFIBE.Code.or.Value","DSQIFIBE.Value.Description","DSQIFIBE.Count","DSQIFIBE.Cumulative","DSQIFIBE.Skip.to.Item"
"0.06 to 26","Range of Values",160,160,NA
".","Missing",9824,9984,NA
