"DR1IMAGN.Code.or.Value","DR1IMAGN.Value.Description","DR1IMAGN.Count","DR1IMAGN.Cumulative","DR1IMAGN.Skip.to.Item"
"0 to 840","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
