"DRQ370TQ.Code.or.Value","DRQ370TQ.Value.Description","DRQ370TQ.Count","DRQ370TQ.Cumulative","DRQ370TQ.Skip.to.Item"
"1 to 30","Range of Values",839,839,NA
".","Missing",8443,9282,NA
