"DRXTVB1.Code.or.Value","DRXTVB1.Value.Description","DRXTVB1.Count","DRXTVB1.Cumulative","DRXTVB1.Skip.to.Item"
"0 to 15.64","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
