"DS2ICOPP.Code.or.Value","DS2ICOPP.Value.Description","DS2ICOPP.Count","DS2ICOPP.Cumulative","DS2ICOPP.Skip.to.Item"
"0.004 to 8.8","Range of Values",921,921,NA
".","Missing",4855,5776,NA
